EconomicRegionID,EconomicRegion_DGUID,EconomicRegion,ProvinceID,Province_DGUID
1040,2021S05001040,Notre Dame--Central Bonavista Bay,10,2021A000210
1010,2021S05001010,Avalon Peninsula,10,2021A000210
1030,2021S05001030,West Coast--Northern Peninsula--Labrador / C�te-ouest--Northern Peninsula--Labrador,10,2021A000210
1020,2021S05001020,South Coast--Burin Peninsula / C�te-sud--Burin Peninsula,10,2021A000210
1110,2021S05001110,Prince Edward Island / �le-du-Prince-�douard,11,2021A000211
1250,2021S05001250,Halifax,12,2021A000212
1220,2021S05001220,North Shore / C�te-nord,12,2021A000212
1240,2021S05001240,Southern / Sud,12,2021A000212
1230,2021S05001230,Annapolis Valley,12,2021A000212
1210,2021S05001210,Cape Breton,12,2021A000212
1350,2021S05001350,Edmundston--Woodstock,13,2021A000213
1340,2021S05001340,Fredericton--Oromocto,13,2021A000213
1320,2021S05001320,Moncton--Richibucto,13,2021A000213
1310,2021S05001310,Campbellton--Miramichi,13,2021A000213
1330,2021S05001330,Saint John--St. Stephen,13,2021A000213
2435,2021S05002435,Mont�r�gie,24,2021A000224
2460,2021S05002460,Outaouais,24,2021A000224
2433,2021S05002433,Centre-du-Qu�bec,24,2021A000224
2490,2021S05002490,Nord-du-Qu�bec,24,2021A000224
2445,2021S05002445,Laval,24,2021A000224
2480,2021S05002480,C�te-Nord,24,2021A000224
2450,2021S05002450,Lanaudi�re,24,2021A000224
2415,2021S05002415,Bas-Saint-Laurent,24,2021A000224
2440,2021S05002440,Montr�al,24,2021A000224
2470,2021S05002470,Mauricie,24,2021A000224
2465,2021S05002465,Abitibi-T�miscamingue,24,2021A000224
2430,2021S05002430,Estrie,24,2021A000224
2410,2021S05002410,Gasp�sie--�les-de-la-Madeleine,24,2021A000224
2475,2021S05002475,Saguenay--Lac-Saint-Jean,24,2021A000224
2425,2021S05002425,Chaudi�re-Appalaches,24,2021A000224
2420,2021S05002420,Capitale-Nationale,24,2021A000224
2455,2021S05002455,Laurentides,24,2021A000224
3590,2021S05003590,Northeast / Nord-est,35,2021A000235
3595,2021S05003595,Northwest / Nord-ouest,35,2021A000235
3510,2021S05003510,Ottawa,35,2021A000235
3580,2021S05003580,Stratford--Bruce Peninsula,35,2021A000235
3570,2021S05003570,Windsor--Sarnia,35,2021A000235
3515,2021S05003515,Kingston--Pembroke,35,2021A000235
3530,2021S05003530,Toronto,35,2021A000235
3560,2021S05003560,London,35,2021A000235
3540,2021S05003540,Kitchener--Waterloo--Barrie,35,2021A000235
3550,2021S05003550,Hamilton--Niagara Peninsula,35,2021A000235
3520,2021S05003520,Muskoka--Kawarthas,35,2021A000235
4670,2021S05004670,Parklands,46,2021A000246
4640,2021S05004640,North Central / Centre nord,46,2021A000246
4660,2021S05004660,Interlake,46,2021A000246
4680,2021S05004680,North / Nord,46,2021A000246
4620,2021S05004620,South Central / Centre sud,46,2021A000246
4610,2021S05004610,Southeast / Sud-est,46,2021A000246
4650,2021S05004650,Winnipeg,46,2021A000246
4630,2021S05004630,Southwest / Sud-ouest,46,2021A000246
4760,2021S05004760,Northern / Nord,47,2021A000247
4710,2021S05004710,Regina--Moose Mountain,47,2021A000247
4740,2021S05004740,Yorkton--Melville,47,2021A000247
4720,2021S05004720,Swift Current--Moose Jaw,47,2021A000247
4730,2021S05004730,Saskatoon--Biggar,47,2021A000247
4750,2021S05004750,Prince Albert,47,2021A000247
4850,2021S05004850,Red Deer,48,2021A000248
4840,2021S05004840,Banff--Jasper--Rocky Mountain House,48,2021A000248
4830,2021S05004830,Calgary,48,2021A000248
4880,2021S05004880,Wood Buffalo--Cold Lake,48,2021A000248
4810,2021S05004810,Lethbridge--Medicine Hat,48,2021A000248
4820,2021S05004820,Camrose--Drumheller,48,2021A000248
4870,2021S05004870,Athabasca--Grande Prairie--Peace River,48,2021A000248
4860,2021S05004860,Edmonton,48,2021A000248
5980,2021S05005980,Northeast / Nord-est,59,2021A000259
5960,2021S05005960,North Coast / C�te-nord,59,2021A000259
5920,2021S05005920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,59,2021A000259
5940,2021S05005940,Kootenay,59,2021A000259
5950,2021S05005950,Cariboo,59,2021A000259
5910,2021S05005910,Vancouver Island and Coast / �le de Vancouver et la c�te,59,2021A000259
5970,2021S05005970,Nechako,59,2021A000259
5930,2021S05005930,Thompson--Okanagan,59,2021A000259
6010,2021S05006010,Yukon,60,2021A000260
6110,2021S05006110,Northwest Territories / Territoires du Nord-Ouest,61,2021A000261
6210,2021S05006210,Nunavut,62,2021A000262
