NOC_GroupingID,NOC_Grouping,
1,Professional occupations in health [31],
2,"Sales and service occupations, except management [62-65]",
3,"Supervisors and occupations in natural resources, agriculture and related production [82-83]",
4,"Helpers and labourers and other transport drivers, operators and labourers [75]",
5,"Workers and labourers in natural resources, agriculture and related production [84-85]",
6,Nursing and allied health professionals [313],
7,Retail sales and service supervisors and specialized occupations in sales and services [62],
8,Professional occupations in finance [111],
9,Administrative occupations and transportation logistics occupations [13],
10,Health treating and consultation services professionals [311],
11,"Mail and message distribution, other transport equipment operators and related maintenance workers [74]",
12,Professional occupations in natural and applied sciences [21],
13,Technical trades and transportation officers and controllers [72],
14,"Paraprofessional occupations in legal, social, community and education services [422]",
15,Assisting occupations in education and in legal and public protection [43],
16,Professional occupations in applied sciences (except engineering) [212],
17,Unclassified occupations,
18,"Natural and applied sciences and related occupations, except management [21-22]",
19,Professional occupations in education services [412],
20,Professional occupations in art and culture [51],
21,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]",
22,"Labourers in processing, manufacturing and utilities [95]",
23,Technical occupations in health [32],
24,Administrative and financial support and supply chain logistics occupations [14],
25,"Occupations in manufacturing and utilities, except management [92-95]",
26,Professional occupations in business [112],
27,Middle management occupations in retail and wholesale trade and customer services [60],
28,"Occupations in education, law and social, community and government services, except management [41-45]",
29,Professional occupations in finance and business [11],
30,Professional occupations in engineering [213],
31,"Specialized middle management occupations [10, 20, 30, 40, 50]",
32,"Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]",
33,"Occupations in art, culture and sport [53]",
34,General trades [73],
35,Professional occupations in government services [414],
36,"Trades, transport and equipment operators and related occupations, except management [72-75]",
37,"Natural resources, agriculture and related production occupations, except management [82-85]",
38,Professional occupations in natural sciences [211],
39,"Business, finance and administration occupations, except management [11-14]",
40,Therapy and assessment professionals [312],
41,"Total, all occupations [00-95]",
42,"Occupations in art, culture, recreation and sport, except management [51-55]",
43,Technical occupations related to natural and applied sciences [22],
44,"Technical occupations in art, culture and sport [52]",
45,Legislative and senior management occupations [0],
46,Sales and service support occupations [65],
47,"Support occupations in art, culture and sport [54-55]",
48,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",
49,Administrative and financial supervisors and specialized administrative occupations [12],
50,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]",
51,Professional occupations in law [411],
52,"Professional occupations in law, education, social, community and government services [41]",
53,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",
54,Assisting occupations in support of health services [33],
55,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]",
56,Occupations in sales and services [63],
57,Professional occupations in social and community services [413],
58,"Health occupations, except management [31-33]",
59,Sales and service representatives and other customer and personal services occupations [64],
60,Occupations in front-line public protection services [421],
