ProgramCategoryID,ProgramCategory
1,Agriculture & Biological Science
2,Architecture & Landscape Architecture
3,Business & Commerce
4,Computer Science
5,Dentistry
6,Education (teacher training)
7,Engineering
8,Fine & Applied Arts
9,Food Science & Nutrition
10,Forestry
11,Other Health Professions
12,Humanities
13,Journalism
14,Kinesiology / Recreation / Physical Education
15,Law
16,Mathematics
17,Medicine
18,Nursing
19,Optometry
20,Other Arts & Science
21,Pharmacy
22,Physical Sciences
23,Social Sciences
24,Theology
25,Therapy & Rehabilitation
26,Veterinary Medicine
