LinkID,ProgramID,Program,Broad Occupation Category Code,Broad Occupation Category,Major Group Code,Major Group,Sub-Major Group Code,Sub-Major Group,Minor Group Code,Minor Group,Unit Group Code,Unit Group Occupation,Unit Group Description
0,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21232,Software Developers and Programmers,"Software developers and programmers design, write, and test code for new systems and software to ensure efficiency. They create the foundations for operative systems and run diagnostic programs to certify effectiveness. They are employed in computer software, computer and video game development firms, information technology consulting firms, and in information technology units throughout the public and private sectors."
1,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21230,Computer Systems Developers and Programmers,"Computer systems developers and programmers write, modify, integrate and test computer code for software applications, data processing applications, operating systems-level software and communications software. They are employed in computer software development firms, information technology consulting firms, and in information technology units throughout the public and private sectors."
2,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21231,Software Engineers and Designers,"Software engineers and designers research, design, evaluate, integrate and maintain software applications, technical environments, operating systems, embedded software, information warehouses and telecommunications software. They are employed in information technology consulting firms, information technology research and development firms, and information technology units throughout the private and public sectors, or they may be self-employed."
3,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21234,Web Developers and Programmers ,"Web developers and programmers use a variety of programming languages to design, create and modify websites. They analyze users' needs to implement content, graphics, performance, and website capacity. They may also integrate websites with other computer applications. They are employed in computer software development firms, information technology consulting firms, information technology units throughout the public and private sectors, advertising agencies or they may be self-employed."
4,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21233,Web Designers,"Web designers develop and create the visual presentation, layout and functionality of websites and related applications. They are responsible for ensuring that the website is easy to use, and that the information is easy to access. Web designers are employed in computer software development firms, information technology consulting firms, information technology units throughout the public and private sectors, advertising agencies or they may be self-employed."
5,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2122,Computer and information systems professionals,21220,Cybersecurity specialists,"Cybersecurity specialists develop, plan, recommend, implement, improve and monitor security measures to protect an organization's computer networks, connected devices and information to prevent unauthorized access, use, disclosure, disruption, modification, or destruction of the information or of the systems on which the information resides. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors."
6,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2122,Computer and information systems professionals,21221,Business systems specialists,"Business systems specialists perform detailed system tests, produce reports and develop new system architectures. They must also identify the strategic objectives of a company and translate these objectives into achievable tasks for an organization's information technology department. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors."
7,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2122,Computer and information systems professionals,21222,Information systems specialists,"Information systems specialists analyze, test and assess systems requirements, develop and implement information systems development plans, policies and procedures, and provide advice on a wide range of information systems issues. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors, or they may be self-employed."
8,3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2122,Computer and information systems professionals,21223,Database analysts and data administrators,"Database analysts design, develop and administer data management solutions. Data administrators develop and implement data administration policy, standards and models. They are employed in information technology consulting firms and in information technology units throughout the public and private sectors."
9,4,Business and Commerce,1,"Business, finance and administration occupations",11,Professional occupations in finance and business,112,Professional occupations in business,1120,Human resources and business service professionals,11200,Human resources professionals,"Human resources professionals develop, implement and evaluate human resources and labour relations policies, programs and procedures and advise employers and employees on human resources matters. They are employed throughout the public and private sectors, or they may be self-employed."
10,4,Business and Commerce,1,"Business, finance and administration occupations",11,Professional occupations in finance and business,112,Professional occupations in business,1120,Human resources and business service professionals,11201,Professional occupations in business management consulting,"Professionals in business management consulting occupations provide services to management such as analyzing the structure, operations, managerial methods or functions of an organization in order to propose, plan and implement improvements. They are employed by management consulting firms and throughout the public and private sectors or are self-employed."
11,4,Business and Commerce,1,"Business, finance and administration occupations",11,Professional occupations in finance and business,112,Professional occupations in business,1120,Human resources and business service professionals,11202,"Professional occupations in advertising, marketing and public relations","Professional occupations in advertising, marketing and public relations analyse, develop and implement communication and promotion strategies and information programs; analyse advertising needs and develop appropriate advertising and marketing plans; publicize activities and events, and maintain media relations on behalf of businesses, governments and other organizations, and for performers, athletes, writers and other talented individuals. They are employed by marketing and consulting firms, advertising agencies, corporations, associations, government, social agencies, museums, galleries, public interest groups, and cultural and other organizations, or they may be self-employed. Agents such as entertainment, literary and sports agents are included in this unit group."
12,4,Business and Commerce,1,"Business, finance and administration occupations",10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",1002,Managers in financial and business services,10020,"Insurance, real estate and financial brokerage managers","Insurance, real estate and financial brokerage managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide insurance, mortgage, real estate and investment services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives. They are employed by insurance companies, real estate firms, stockbrokers, investment dealers, mortgage brokers and security and commodity exchanges."
13,4,Business and Commerce,1,"Business, finance and administration occupations",10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",1002,Managers in financial and business services,10021,"Banking, credit and other investment managers","Banking, credit and other investment managers plan, organize, direct, control and evaluate the activities of financial establishments or operational departments within such establishments, or credit departments in industrial and commercial establishments. They oversee business development and manage overall performance in accordance with established strategic directions and policies. Banking managers are employed by banks, trust companies and credit unions. Credit managers are employed by credit departments in department stores, utility companies, car dealerships, insurance companies or other industrial or commercial organizations. Other investment managers are employed by credit card companies, consumer loan companies, mutual fund investment firms, mortgage investment companies or other financial establishments concerned with extending loans and financing and investments."
14,4,Business and Commerce,1,"Business, finance and administration occupations",10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",1002,Managers in financial and business services,10022,"Advertising, marketing and public relations managers","Advertising, marketing, public relations and e-business managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial and e-business advertising, marketing and public relations. They are employed by commercial and industrial establishments, government departments, and advertising, marketing and public relations firms or consulting businesses."
15,4,Business and Commerce,1,"Business, finance and administration occupations",10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",1002,Managers in financial and business services,10029,Other business services managers,"Other business services managers plan, organize, direct, control and evaluate the operations of establishments that provide services to business, and ensure the quality of those services and client satisfaction. They work in fields such as management consulting, market research, personnel and payroll services, contact centre services and security services."
