EntryID,UniversityID,University,ProgramCategoryID,Year,Employment Rate (2 years after graduating),Employment Rate (6 months after graduating),Graduation Rate
0,1,Algoma University,1,2020,n/a,n/a,n/a
1,2,Brock University,1,2020,0.9524,0.8571,0.637
2,3,Carleton University,1,2020,0.9302,0.814,0.681
3,4,University of Guelph,1,2020,0.9649,0.8587,0.839
4,5,Lakehead University,1,2020,1,1,0.784
5,6,Laurentian University,1,2020,0.9412,0.8065,0.711
6,7,McMaster University,1,2020,0.9299,0.7861,n/a
7,8,Nipissing University,1,2020,1,1,0.711
8,9,OCAD University,1,2020,n/a,n/a,n/a
9,10,University of Ottawa,1,2020,0.9216,0.84,0.76
10,11,Ontario Tech University,1,2020,0.8947,0.7222,0.578
11,12,Queens University,1,2020,0.9435,0.8382,n/a
12,13,Toronto Metropolitan University,1,2020,0.9385,0.8209,n/a
13,14,University of Toronto,1,2020,0.8991,0.7445,n/a
14,15,Trent University,1,2020,0.914,0.9101,0.76
15,16,University of Waterloo,1,2020,0.8889,0.7792,0.799
16,17,Western University,1,2020,0.9205,0.8101,n/a
17,18,Wilfrid Laurier University ,1,2020,0.9592,0.8333,0.724
18,19,University of Windsor,1,2020,0.9167,0.881,0.835
19,20,York University,1,2020,0.9213,0.7976,0.668
20,1,Algoma University,1,2019,n/a,n/a,n/a
21,2,Brock University,1,2019,0.9583,0.92,0.587
22,3,Carleton University,1,2019,0.9333,0.8478,0.655
23,4,University of Guelph,1,2019,0.9356,0.8995,0.837
24,5,Lakehead University,1,2019,1,1,0.662
25,6,Laurentian University,1,2019,0.9118,0.9118,0.698
26,7,McMaster University,1,2019,0.9097,0.8874,n/a
27,8,Nipissing University,1,2019,1,0.6923,0.741
28,9,OCAD University,1,2019,n/a,n/a,n/a
29,10,University of Ottawa,1,2019,0.955,0.8899,0.727
30,11,Ontario Tech University,1,2019,0.8077,0.7727,0.601
31,12,Queens University,1,2019,0.9514,0.9333,n/a
32,13,Toronto Metropolitan University,1,2019,0.8571,0.7586,n/a
33,14,University of Toronto,1,2019,0.8988,0.7953,n/a
34,15,Trent University,1,2019,0.9438,0.8519,0.668
35,16,University of Waterloo,1,2019,0.9677,0.8596,0.814
36,17,Western University,1,2019,0.9437,0.9118,n/a
37,18,Wilfrid Laurier University ,1,2019,0.9189,0.9429,0.661
38,19,University of Windsor,1,2019,0.9091,0.8113,0.788
39,20,York University,1,2019,0.8919,0.7606,0.727
40,1,Algoma University,1,2018,n/a,n/a,n/a
41,2,Brock University,1,2018,1,0.92,0.688
42,3,Carleton University,1,2018,0.9149,0.8222,0.675
43,4,University of Guelph,1,2018,0.9364,0.9252,0.81
44,5,Lakehead University,1,2018,0.9091,1,0.617
45,6,Laurentian University,1,2018,0.9787,0.9048,n/a
46,7,McMaster University,1,2018,0.9138,0.8924,n/a
47,8,Nipissing University,1,2018,0.8333,0.7778,0.7
48,9,OCAD University,1,2018,n/a,n/a,n/a
49,10,University of Ottawa,1,2018,0.9259,0.9252,0.774
50,11,Ontario Tech University,1,2018,0.931,0.8966,0.508
51,12,Queens University,1,2018,0.9024,0.8649,n/a
52,13,Toronto Metropolitan University,1,2018,0.8485,0.8136,n/a
53,14,University of Toronto,1,2018,n/a,n/a,n/a
54,15,Trent University,1,2018,0.8929,0.809,0.729
55,16,University of Waterloo,1,2018,0.9186,0.8974,0.821
56,17,Western University,1,2018,0.851,0.898,n/a
57,18,Wilfrid Laurier University ,1,2018,0.9231,0.9318,0.66
58,19,University of Windsor,1,2018,0.9412,0.8696,0.795
59,20,York University,1,2018,0.875,0.7848,0.7
60,1,Algoma University,1,2017,n/a,n/a,n/a
61,2,Brock University,1,2017,0.8276,0.8846,0.62
