EntryID,UniversityID,University,ProgramCategoryID,Year,Employment Rate (2 years after graduating),Employment Rate (6 months after graduating),Graduation Rate
0,1,Algoma University,1,2013,92.0,86.0,0.0
1,2,Brock University,1,2021,88.0,85.0,69.0
2,2,Brock University,1,2020,95.0,86.0,64.0
3,2,Brock University,1,2019,96.0,92.0,59.0
4,2,Brock University,1,2018,100.0,92.0,69.0
5,2,Brock University,1,2017,83.0,88.0,62.0
6,2,Brock University,1,2016,95.0,89.0,63.0
7,2,Brock University,1,2015,83.0,95.0,68.0
8,2,Brock University,1,2014,93.0,86.0,65.0
9,2,Brock University,1,2013,83.0,74.0,71.0
10,2,Brock University,1,2012,83.0,55.0,74.0
11,2,Brock University,1,2011,94.0,73.0,58.0
12,2,Brock University,1,2010,95.0,83.0,73.0
13,2,Brock University,1,2009,85.0,88.0,79.0
14,2,Brock University,1,2008,92.0,77.0,74.0
15,2,Brock University,1,2007,100.0,88.0,66.0
16,2,Brock University,1,2006,0.0,0.0,57.0
17,2,Brock University,1,2005,86.0,100.0,61.0
18,2,Brock University,1,2004,100.0,92.0,65.0
55,3,Laurentian University,1,2021,85.0,91.0,76.0
56,3,Laurentian University,1,2020,94.0,81.0,71.0
57,3,Laurentian University,1,2019,91.0,91.0,70.0
58,3,Laurentian University,1,2018,98.0,90.0,0.0
59,3,Laurentian University,1,2017,98.0,90.0,82.0
60,3,Laurentian University,1,2016,100.0,94.0,60.0
61,3,Laurentian University,1,2015,93.0,94.0,75.0
62,3,Laurentian University,1,2014,96.0,100.0,71.0
63,3,Laurentian University,1,2013,95.0,72.0,63.0
64,3,Laurentian University,1,2012,100.0,95.0,71.0
65,3,Laurentian University,1,2011,88.0,86.0,64.0
66,3,Laurentian University,1,2010,100.0,78.0,86.0
67,3,Laurentian University,1,2009,89.0,83.0,68.0
68,3,Laurentian University,1,2008,100.0,93.0,64.0
69,3,Laurentian University,1,2007,96.0,96.0,72.0
70,3,Laurentian University,1,2006,79.0,73.0,67.0
71,3,Laurentian University,1,2005,100.0,82.0,60.0
72,3,Laurentian University,1,2004,75.0,91.0,64.0
73,3,Laurentian University,1,2003,95.0,100.0,63.0
37,4,Lakehead University,1,2021,100.0,88.0,73.0
38,4,Lakehead University,1,2020,100.0,100.0,78.0
39,4,Lakehead University,1,2019,100.0,100.0,66.0
40,4,Lakehead University,1,2018,91.0,100.0,62.0
41,4,Lakehead University,1,2017,100.0,94.0,78.0
42,4,Lakehead University,1,2016,94.0,100.0,71.0
43,4,Lakehead University,1,2015,93.0,87.0,74.0
44,4,Lakehead University,1,2014,92.0,96.0,75.0
45,4,Lakehead University,1,2013,94.0,94.0,77.0
46,4,Lakehead University,1,2012,95.0,90.0,76.0
47,4,Lakehead University,1,2011,100.0,87.0,83.0
48,4,Lakehead University,1,2010,100.0,94.0,80.0
49,4,Lakehead University,1,2009,100.0,100.0,86.0
50,4,Lakehead University,1,2008,100.0,100.0,73.0
51,4,Lakehead University,1,2007,89.0,100.0,89.0
52,4,Lakehead University,1,2006,100.0,100.0,84.0
53,4,Lakehead University,1,2005,0.0,0.0,64.0
54,4,Lakehead University,1,2004,0.0,0.0,73.0
