UniversityID,University,Address,Province,City,PostalCode,Lat,Lon
1,Algoma University,1520 Queen St E,ON,Sault Ste. Marie,P6A2G3,46.511292,-84.335159
2,Brock University,1812 Sir Isaac Brock Way,ON,St. Catharines,L2S3A1,43.119893,-79.244258
3,Laurentian University,935 Ramsey Lake Rd,ON,Sudbury,P3E2C6,46.101318,-77.486191
4,Lakehead University,955 Oliver Rd,ON,Thunder Bay,P7B5E1,48.420025,-89.261382
5,OCAD University,100 McCaul St,ON,Toronto,M5T1G1,43.6532853,-79.3915144
6,Trent University,1600 W Bank Dr,ON,Peterborough,K9L0G2,44.3572933,-78.2893817
7,Nipissing University,100 College Dr,ON,North Bay,P1B8L7,46.3432694,-79.4916705
8,Carleton University,1125 Colonel By Dr,ON,Ottawa,K1S5B6,45.385858,-75.695004
9,University of Guelph,50 Stone Rd E,ON,Guelph,N1G2W1,43.532786,-80.224997
10,McMaster University,1280 Main St W,ON,Hamilton,L8S4L8,43.26394,-79.917825
11,Ontario Tech University,2000 Simcoe St N,ON,Oshawa,L1G0C5,43.948341,-78.898202
12,University of Ottawa,75 Laurier Ave E,ON,Ottawa,K1N6N5,45.422527,-75.68339
13,Queens University,99 University Ave,ON,Kingston,K7L3N6,44.226349,-76.495756
14,Toronto Metropolitan University,350 Victoria St,ON,Toronto,M5B2K3,43.658534,-79.378467
15,University of Toronto,27 King's College Cir,ON,Toronto,M5S1A1,43.663462,-79.39776
16,University of Waterloo,200 University Ave W,ON,Waterloo,N2L3G1,43.470199,-80.545243
17,University of Windsor,401 Sunset Ave,ON,Windsor,N9B3P4,42.305201,-83.066491
18,Western University,1151 Richmond St,ON,London,N6A3K7,43.005423,-81.274801
19,Wilfrid Laurier University ,75 University Ave W,ON,Waterloo,N2L3C5,43.472799,-80.528086
20,York University,4700 Keele St,ON,North York,M3J1P3,43.774332,-79.50027
