ID,provinceid,noc_groupingid,dguid,ds,y,year
P10_N1,10,1,2021A000210,2000-01-01,7.0,2000
P10_N1,10,1,2021A000210,2000-02-01,8.2,2000
P10_N1,10,1,2021A000210,2000-03-01,7.1,2000
P10_N1,10,1,2021A000210,2000-04-01,7.6,2000
P10_N1,10,1,2021A000210,2000-05-01,6.9,2000
P10_N1,10,1,2021A000210,2000-06-01,7.8,2000
P10_N1,10,1,2021A000210,2000-07-01,7.3,2000
P10_N1,10,1,2021A000210,2000-08-01,7.0,2000
P10_N1,10,1,2021A000210,2000-09-01,7.9,2000
P10_N1,10,1,2021A000210,2000-10-01,8.4,2000
P10_N1,10,1,2021A000210,2000-11-01,7.8,2000
P10_N1,10,1,2021A000210,2000-12-01,8.0,2000
P10_N1,10,1,2021A000210,2001-01-01,8.2,2001
P10_N1,10,1,2021A000210,2001-02-01,7.6,2001
P10_N1,10,1,2021A000210,2001-03-01,6.7,2001
P10_N1,10,1,2021A000210,2001-04-01,7.1,2001
P10_N1,10,1,2021A000210,2001-05-01,7.4,2001
P10_N1,10,1,2021A000210,2001-06-01,7.2,2001
P10_N1,10,1,2021A000210,2001-07-01,7.0,2001
P10_N1,10,1,2021A000210,2001-08-01,6.7,2001
P10_N1,10,1,2021A000210,2001-09-01,7.8,2001
P10_N1,10,1,2021A000210,2001-10-01,7.8,2001
P10_N1,10,1,2021A000210,2001-11-01,7.8,2001
P10_N1,10,1,2021A000210,2001-12-01,9.0,2001
P10_N1,10,1,2021A000210,2002-01-01,9.5,2002
P10_N1,10,1,2021A000210,2002-02-01,9.3,2002
P10_N1,10,1,2021A000210,2002-03-01,8.1,2002
P10_N1,10,1,2021A000210,2002-04-01,8.3,2002
P10_N1,10,1,2021A000210,2002-05-01,9.0,2002
P10_N1,10,1,2021A000210,2002-06-01,8.7,2002
P10_N1,10,1,2021A000210,2002-07-01,8.2,2002
P10_N1,10,1,2021A000210,2002-08-01,8.9,2002
P10_N1,10,1,2021A000210,2002-09-01,9.0,2002
P10_N1,10,1,2021A000210,2002-10-01,8.2,2002
P10_N1,10,1,2021A000210,2002-11-01,7.6,2002
P10_N1,10,1,2021A000210,2002-12-01,8.3,2002
P10_N1,10,1,2021A000210,2003-01-01,8.9,2003
P10_N1,10,1,2021A000210,2003-02-01,8.5,2003
P10_N1,10,1,2021A000210,2003-03-01,7.9,2003
P10_N1,10,1,2021A000210,2003-04-01,8.7,2003
P10_N1,10,1,2021A000210,2003-05-01,9.0,2003
P10_N1,10,1,2021A000210,2003-06-01,9.1,2003
P10_N1,10,1,2021A000210,2003-07-01,9.4,2003
P10_N1,10,1,2021A000210,2003-08-01,9.7,2003
P10_N1,10,1,2021A000210,2003-09-01,9.4,2003
P10_N1,10,1,2021A000210,2003-10-01,7.4,2003
P10_N1,10,1,2021A000210,2003-11-01,6.4,2003
P10_N1,10,1,2021A000210,2003-12-01,7.0,2003
P10_N1,10,1,2021A000210,2004-01-01,6.6,2004
P10_N1,10,1,2021A000210,2004-02-01,5.9,2004
P10_N1,10,1,2021A000210,2004-03-01,5.9,2004
P10_N1,10,1,2021A000210,2004-04-01,6.0,2004
