provinceid,dguid,datestamp,noc_groupingid,employment,year,Key
10,2021A000210,2000-01-01,1,7.0,2000,"(10, 1)"
10,2021A000210,2000-02-01,1,8.2,2000,"(10, 1)"
10,2021A000210,2000-03-01,1,7.1,2000,"(10, 1)"
10,2021A000210,2000-04-01,1,7.6,2000,"(10, 1)"
10,2021A000210,2000-05-01,1,6.9,2000,"(10, 1)"
10,2021A000210,2000-06-01,1,7.8,2000,"(10, 1)"
10,2021A000210,2000-07-01,1,7.3,2000,"(10, 1)"
10,2021A000210,2000-08-01,1,7.0,2000,"(10, 1)"
10,2021A000210,2000-09-01,1,7.9,2000,"(10, 1)"
10,2021A000210,2000-10-01,1,8.4,2000,"(10, 1)"
10,2021A000210,2000-11-01,1,7.8,2000,"(10, 1)"
10,2021A000210,2000-12-01,1,8.0,2000,"(10, 1)"
10,2021A000210,2001-01-01,1,8.2,2001,"(10, 1)"
10,2021A000210,2001-02-01,1,7.6,2001,"(10, 1)"
10,2021A000210,2001-03-01,1,6.7,2001,"(10, 1)"
10,2021A000210,2001-04-01,1,7.1,2001,"(10, 1)"
10,2021A000210,2001-05-01,1,7.4,2001,"(10, 1)"
10,2021A000210,2001-06-01,1,7.2,2001,"(10, 1)"
10,2021A000210,2001-07-01,1,7.0,2001,"(10, 1)"
10,2021A000210,2001-08-01,1,6.7,2001,"(10, 1)"
10,2021A000210,2001-09-01,1,7.8,2001,"(10, 1)"
10,2021A000210,2001-10-01,1,7.8,2001,"(10, 1)"
10,2021A000210,2001-11-01,1,7.8,2001,"(10, 1)"
10,2021A000210,2001-12-01,1,9.0,2001,"(10, 1)"
10,2021A000210,2002-01-01,1,9.5,2002,"(10, 1)"
10,2021A000210,2002-02-01,1,9.3,2002,"(10, 1)"
10,2021A000210,2002-03-01,1,8.1,2002,"(10, 1)"
10,2021A000210,2002-04-01,1,8.3,2002,"(10, 1)"
10,2021A000210,2002-05-01,1,9.0,2002,"(10, 1)"
10,2021A000210,2002-06-01,1,8.7,2002,"(10, 1)"
10,2021A000210,2002-07-01,1,8.2,2002,"(10, 1)"
10,2021A000210,2002-08-01,1,8.9,2002,"(10, 1)"
10,2021A000210,2002-09-01,1,9.0,2002,"(10, 1)"
10,2021A000210,2002-10-01,1,8.2,2002,"(10, 1)"
10,2021A000210,2002-11-01,1,7.6,2002,"(10, 1)"
10,2021A000210,2002-12-01,1,8.3,2002,"(10, 1)"
10,2021A000210,2003-01-01,1,8.9,2003,"(10, 1)"
10,2021A000210,2003-02-01,1,8.5,2003,"(10, 1)"
10,2021A000210,2003-03-01,1,7.9,2003,"(10, 1)"
10,2021A000210,2003-04-01,1,8.7,2003,"(10, 1)"
10,2021A000210,2003-05-01,1,9.0,2003,"(10, 1)"
10,2021A000210,2003-06-01,1,9.1,2003,"(10, 1)"
10,2021A000210,2003-07-01,1,9.4,2003,"(10, 1)"
10,2021A000210,2003-08-01,1,9.7,2003,"(10, 1)"
10,2021A000210,2003-09-01,1,9.4,2003,"(10, 1)"
10,2021A000210,2003-10-01,1,7.4,2003,"(10, 1)"
10,2021A000210,2003-11-01,1,6.4,2003,"(10, 1)"
