Test run started at 2025-12-07 23:27:42.595746

Expected [SUCCESS] Function: University_KPI_History_Check, Args: (3, 'Employment Rate 2 Years after Graduation'), Assert: Data Is Not Empty, Result: PASS
Expected [SUCCESS] Function: University_KPI_History_Check, Args: (3, 'Employment Rate 2 Years after Graduation'), Assert: The Data is a Pandas Dataframe, Result: PASS
Expected [SUCCESS] Function: University_KPI_History_Check, Args: (4, 'Employment Rate 6 Months after Graduation'), Assert: Data Is Not Empty, Result: PASS
Expected [SUCCESS] Function: University_KPI_History_Check, Args: (4, 'Employment Rate 6 Months after Graduation'), Assert: The Data is a Pandas Dataframe, Result: PASS
Expected [SUCCESS] Function: Latest_KPI_Program_data, Args: (3,), Assert: Data Is Not Empty, Result: PASS
Expected [SUCCESS] Function: Latest_KPI_Program_data, Args: (3,), Assert: The Data is a Pandas Dataframe, Result: PASS
Expected [SUCCESS] Function: Latest_KPI_Program_data, Args: (4,), Assert: Data Is Not Empty, Result: PASS
Expected [SUCCESS] Function: Latest_KPI_Program_data, Args: (4,), Assert: The Data is a Pandas Dataframe, Result: PASS
Expected [FAIL] Function: University_KPI_History_Check, Args: (300, 'employment_rate_6_years_after_graduating_field'), Assert: Data Is Empty, Result: PASS
Expected [FAIL] Function: University_KPI_History_Check, Args: (300, 'employment_rate_6_years_after_graduating_field'), Assert: The Data is a Pandas Dataframe, Result: PASS
Expected [FAIL] Function: University_KPI_History_Check, Args: ('ABC', 'employment_rate_12_months_after_graduating_field'), Assert: Data Is Empty, Result: PASS
Expected [FAIL] Function: University_KPI_History_Check, Args: ('ABC', 'employment_rate_12_months_after_graduating_field'), Assert: The Data is a Pandas Dataframe, Result: PASS
Expected [FAIL] Function: Latest_KPI_Program_data, Args: (300,), Assert: Data Is Empty, Result: PASS
Expected [FAIL] Function: Latest_KPI_Program_data, Args: (300,), Assert: The Data is a Pandas Dataframe, Result: PASS
Expected [FAIL] Function: Latest_KPI_Program_data, Args: ('ABC',), Assert: Data Is Empty, Result: PASS
Expected [FAIL] Function: Latest_KPI_Program_data, Args: ('ABC',), Assert: The Data is a Pandas Dataframe, Result: PASS
