ProgramID,Program,Broad Occupation Category Code,Broad Occupation Category,Major Group Code,Major Group,Sub-Major Group Code,Sub-Major Group,Minor Group Code,Minor Group,Unit Group Code,Unit Group Occupation
1,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21232,Software Developers and Programmers
1,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21230,Computer Systems Developers and Programmers
1,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21231,Software Engineers and Designers
1,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21234,Web Developers and Programmers 
1,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2123,"Computer, software and Web designers and developers",21233,Web Designers
1,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2122,Computer and information systems professionals,21220,Cybersecurity specialists
2,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2122,Computer and information systems professionals,21221,Business systems specialists
3,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2122,Computer and information systems professionals,21222,Information systems specialists
4,Computer Science,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2122,Computer and information systems professionals,21223,Database analysts and data administrators
2,Business and Commerce,1,"Business, finance and administration occupations",11,Professional occupations in finance and business,112,Professional occupations in business,1120,Human resources and business service professionals,11200,Human resources professionals
2,Business and Commerce,1,"Business, finance and administration occupations",11,Professional occupations in finance and business,112,Professional occupations in business,1120,Human resources and business service professionals,11201,Professional occupations in business management consulting
2,Business and Commerce,1,"Business, finance and administration occupations",11,Professional occupations in finance and business,112,Professional occupations in business,1120,Human resources and business service professionals,11202,"Professional occupations in advertising, marketing and public relations"
2,Business and Commerce,1,"Business, finance and administration occupations",10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",1002,Managers in financial and business services,10020,"Insurance, real estate and financial brokerage managers"
2,Business and Commerce,1,"Business, finance and administration occupations",10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",1002,Managers in financial and business services,10021,"Banking, credit and other investment managers"
2,Business and Commerce,1,"Business, finance and administration occupations",10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",1002,Managers in financial and business services,10022,"Advertising, marketing and public relations managers"
2,Business and Commerce,1,"Business, finance and administration occupations",10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",100,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",1002,Managers in financial and business services,10029,Other business services managers
