NOC Code,NOC Occupation,ds,Employment (Persons in Thousands),3-Month Moving Average,3-Month Moving SD,Lower Band,Upper Band
112,Professional occupations in business,2000-01-01,74.4,74.4,,,
112,Professional occupations in business,2000-02-01,74.6,74.5,0.141,74.218,74.782
112,Professional occupations in business,2000-03-01,70.1,73.033,2.542,67.949,78.117
112,Professional occupations in business,2000-04-01,69.2,71.3,2.893,65.514,77.086
112,Professional occupations in business,2000-05-01,69.5,69.6,0.458,68.684,70.516
112,Professional occupations in business,2000-06-01,73.7,70.8,2.516,65.768,75.832
112,Professional occupations in business,2000-07-01,76.2,73.133,3.386,66.361,79.905
112,Professional occupations in business,2000-08-01,74.7,74.867,1.258,72.351,77.383
112,Professional occupations in business,2000-09-01,66.0,72.3,5.507,61.286,83.314
112,Professional occupations in business,2000-10-01,77.5,72.733,5.997,60.739,84.727
112,Professional occupations in business,2000-11-01,69.1,70.867,5.95,58.967,82.767
112,Professional occupations in business,2000-12-01,79.3,75.3,5.444,64.412,86.188
112,Professional occupations in business,2001-01-01,79.0,75.8,5.804,64.192,87.408
112,Professional occupations in business,2001-02-01,76.2,78.167,1.71,74.747,81.587
112,Professional occupations in business,2001-03-01,80.8,78.667,2.318,74.031,83.303
112,Professional occupations in business,2001-04-01,81.5,79.5,2.879,73.742,85.258
112,Professional occupations in business,2001-05-01,79.5,80.6,1.015,78.57,82.63
112,Professional occupations in business,2001-06-01,70.9,77.3,5.632,66.036,88.564
112,Professional occupations in business,2001-07-01,81.5,77.3,5.632,66.036,88.564
112,Professional occupations in business,2001-08-01,75.4,75.933,5.32,65.293,86.573
112,Professional occupations in business,2001-09-01,71.4,76.1,5.086,65.928,86.272
112,Professional occupations in business,2001-10-01,76.6,74.467,2.723,69.021,79.913
112,Professional occupations in business,2001-11-01,78.0,75.333,3.478,68.377,82.289
112,Professional occupations in business,2001-12-01,81.4,78.667,2.468,73.731,83.603
112,Professional occupations in business,2002-01-01,69.9,76.433,5.908,64.617,88.249
112,Professional occupations in business,2002-02-01,75.9,75.733,5.752,64.229,87.237
112,Professional occupations in business,2002-03-01,85.7,77.167,7.976,61.215,93.119
112,Professional occupations in business,2002-04-01,87.4,83.0,6.207,70.586,95.414
112,Professional occupations in business,2002-05-01,90.1,87.733,2.219,83.295,92.171
112,Professional occupations in business,2002-06-01,96.0,91.167,4.398,82.371,99.963
112,Professional occupations in business,2002-07-01,98.9,95.0,4.484,86.032,103.968
112,Professional occupations in business,2002-08-01,92.6,95.833,3.153,89.527,102.139
112,Professional occupations in business,2002-09-01,91.7,94.4,3.923,86.554,102.246
112,Professional occupations in business,2002-10-01,91.8,92.033,0.493,91.047,93.019
112,Professional occupations in business,2002-11-01,96.8,93.433,2.916,87.601,99.265
112,Professional occupations in business,2002-12-01,93.2,93.933,2.579,88.775,99.091
112,Professional occupations in business,2003-01-01,85.7,91.9,5.663,80.574,103.226
112,Professional occupations in business,2003-02-01,85.7,88.2,4.33,79.54,96.86
112,Professional occupations in business,2003-03-01,82.5,84.633,1.848,80.937,88.329
112,Professional occupations in business,2003-04-01,94.1,87.433,5.991,75.451,99.415
112,Professional occupations in business,2003-05-01,89.9,88.833,5.873,77.087,100.579
112,Professional occupations in business,2003-06-01,94.7,92.9,2.615,87.67,98.13
112,Professional occupations in business,2003-07-01,85.8,90.133,4.455,81.223,99.043
112,Professional occupations in business,2003-08-01,92.8,91.1,4.687,81.726,100.474
112,Professional occupations in business,2003-09-01,95.3,91.3,4.924,81.452,101.148
112,Professional occupations in business,2003-10-01,90.2,92.767,2.55,87.667,97.867
112,Professional occupations in business,2003-11-01,93.5,93.0,2.587,87.826,98.174
112,Professional occupations in business,2003-12-01,89.1,90.933,2.29,86.353,95.513
112,Professional occupations in business,2004-01-01,95.8,92.8,3.404,85.992,99.608
112,Professional occupations in business,2004-02-01,93.9,92.933,3.453,86.027,99.839
112,Professional occupations in business,2004-03-01,93.6,94.433,1.193,92.047,96.819
112,Professional occupations in business,2004-04-01,88.3,91.933,3.15,85.633,98.233
112,Professional occupations in business,2004-05-01,93.6,91.833,3.06,85.713,97.953
112,Professional occupations in business,2004-06-01,96.8,92.9,4.293,84.314,101.486
112,Professional occupations in business,2004-07-01,101.2,97.2,3.816,89.568,104.832
112,Professional occupations in business,2004-08-01,92.1,96.7,4.551,87.598,105.802
112,Professional occupations in business,2004-09-01,87.5,93.6,6.972,79.656,107.544
112,Professional occupations in business,2004-10-01,92.9,90.833,2.914,85.005,96.661
112,Professional occupations in business,2004-11-01,91.2,90.533,2.761,85.011,96.055
112,Professional occupations in business,2004-12-01,75.4,86.5,9.65,67.2,105.8
112,Professional occupations in business,2005-01-01,77.0,81.2,8.697,63.806,98.594
112,Professional occupations in business,2005-02-01,94.7,82.367,10.711,60.945,103.789
112,Professional occupations in business,2005-03-01,91.4,87.7,9.412,68.876,106.524
112,Professional occupations in business,2005-04-01,91.4,92.5,1.905,88.69,96.31
112,Professional occupations in business,2005-05-01,87.3,90.033,2.367,85.299,94.767
112,Professional occupations in business,2005-06-01,91.1,89.933,2.285,85.363,94.503
112,Professional occupations in business,2005-07-01,90.3,89.567,2.003,85.561,93.573
112,Professional occupations in business,2005-08-01,85.9,89.1,2.8,83.5,94.7
112,Professional occupations in business,2005-09-01,89.6,88.6,2.364,83.872,93.328
112,Professional occupations in business,2005-10-01,103.6,93.033,9.336,74.361,111.705
112,Professional occupations in business,2005-11-01,95.5,96.233,7.029,82.175,110.291
112,Professional occupations in business,2005-12-01,87.8,95.633,7.901,79.831,111.435
112,Professional occupations in business,2006-01-01,96.7,93.333,4.829,83.675,102.991
112,Professional occupations in business,2006-02-01,88.3,90.933,5.0,80.933,100.933
112,Professional occupations in business,2006-03-01,87.6,90.867,5.064,80.739,100.995
112,Professional occupations in business,2006-04-01,90.9,88.933,1.739,85.455,92.411
112,Professional occupations in business,2006-05-01,92.3,90.267,2.413,85.441,95.093
112,Professional occupations in business,2006-06-01,89.8,91.0,1.253,88.494,93.506
112,Professional occupations in business,2006-07-01,87.1,89.733,2.601,84.531,94.935
112,Professional occupations in business,2006-08-01,85.8,87.567,2.04,83.487,91.647
112,Professional occupations in business,2006-09-01,86.0,86.3,0.7,84.9,87.7
112,Professional occupations in business,2006-10-01,80.4,84.067,3.177,77.713,90.421
112,Professional occupations in business,2006-11-01,81.9,82.767,2.899,76.969,88.565
112,Professional occupations in business,2006-12-01,82.4,81.567,1.041,79.485,83.649
112,Professional occupations in business,2007-01-01,82.5,82.267,0.321,81.625,82.909
112,Professional occupations in business,2007-02-01,89.6,84.833,4.128,76.577,93.089
112,Professional occupations in business,2007-03-01,92.0,88.033,4.94,78.153,97.913
112,Professional occupations in business,2007-04-01,89.3,90.3,1.48,87.34,93.26
112,Professional occupations in business,2007-05-01,86.2,89.167,2.902,83.363,94.971
112,Professional occupations in business,2007-06-01,93.3,89.6,3.559,82.482,96.718
112,Professional occupations in business,2007-07-01,90.1,89.867,3.556,82.755,96.979
112,Professional occupations in business,2007-08-01,95.6,93.0,2.762,87.476,98.524
112,Professional occupations in business,2007-09-01,89.6,91.767,3.329,85.109,98.425
112,Professional occupations in business,2007-10-01,95.6,93.6,3.464,86.672,100.528
112,Professional occupations in business,2007-11-01,94.7,93.3,3.236,86.828,99.772
112,Professional occupations in business,2007-12-01,94.1,94.8,0.755,93.29,96.31
112,Professional occupations in business,2008-01-01,96.2,95.0,1.082,92.836,97.164
112,Professional occupations in business,2008-02-01,94.1,94.8,1.212,92.376,97.224
112,Professional occupations in business,2008-03-01,92.8,94.367,1.716,90.935,97.799
112,Professional occupations in business,2008-04-01,100.2,95.7,3.951,87.798,103.602
112,Professional occupations in business,2008-05-01,105.9,99.633,6.568,86.497,112.769
112,Professional occupations in business,2008-06-01,103.4,103.167,2.857,97.453,108.881
112,Professional occupations in business,2008-07-01,107.9,105.733,2.255,101.223,110.243
112,Professional occupations in business,2008-08-01,122.6,111.3,10.041,91.218,131.382
112,Professional occupations in business,2008-09-01,118.6,116.367,7.6,101.167,131.567
112,Professional occupations in business,2008-10-01,123.5,121.567,2.608,116.351,126.783
112,Professional occupations in business,2008-11-01,127.1,123.067,4.267,114.533,131.601
112,Professional occupations in business,2008-12-01,122.3,124.3,2.498,119.304,129.296
112,Professional occupations in business,2009-01-01,109.0,119.467,9.377,100.713,138.221
112,Professional occupations in business,2009-02-01,118.8,116.7,6.894,102.912,130.488
112,Professional occupations in business,2009-03-01,116.0,114.6,5.048,104.504,124.696
112,Professional occupations in business,2009-04-01,118.1,117.633,1.457,114.719,120.547
112,Professional occupations in business,2009-05-01,115.6,116.567,1.343,113.881,119.253
112,Professional occupations in business,2009-06-01,115.0,116.233,1.644,112.945,119.521
112,Professional occupations in business,2009-07-01,120.5,117.033,3.017,110.999,123.067
112,Professional occupations in business,2009-08-01,128.8,121.433,6.947,107.539,135.327
112,Professional occupations in business,2009-09-01,114.2,121.167,7.323,106.521,135.813
112,Professional occupations in business,2009-10-01,125.6,122.867,7.674,107.519,138.215
112,Professional occupations in business,2009-11-01,123.1,120.967,5.992,108.983,132.951
112,Professional occupations in business,2009-12-01,114.1,120.933,6.048,108.837,133.029
112,Professional occupations in business,2010-01-01,116.6,117.933,4.646,108.641,127.225
112,Professional occupations in business,2010-02-01,113.0,114.567,1.845,110.877,118.257
112,Professional occupations in business,2010-03-01,114.2,114.6,1.833,110.934,118.266
112,Professional occupations in business,2010-04-01,116.0,114.4,1.51,111.38,117.42
112,Professional occupations in business,2010-05-01,122.2,117.467,4.197,109.073,125.861
112,Professional occupations in business,2010-06-01,127.3,121.833,5.659,110.515,133.151
112,Professional occupations in business,2010-07-01,121.1,123.533,3.308,116.917,130.149
112,Professional occupations in business,2010-08-01,124.4,124.267,3.102,118.063,130.471
112,Professional occupations in business,2010-09-01,124.9,123.467,2.065,119.337,127.597
112,Professional occupations in business,2010-10-01,121.4,123.567,1.893,119.781,127.353
112,Professional occupations in business,2010-11-01,127.3,124.533,2.967,118.599,130.467
112,Professional occupations in business,2010-12-01,144.4,131.033,11.946,107.141,154.925
112,Professional occupations in business,2011-01-01,144.4,138.7,9.873,118.954,158.446
112,Professional occupations in business,2011-02-01,135.0,141.267,5.427,130.413,152.121
112,Professional occupations in business,2011-03-01,128.7,136.033,7.901,120.231,151.835
112,Professional occupations in business,2011-04-01,120.1,127.933,7.48,112.973,142.893
112,Professional occupations in business,2011-05-01,116.8,121.867,6.144,109.579,134.155
112,Professional occupations in business,2011-06-01,109.0,115.3,5.7,103.9,126.7
112,Professional occupations in business,2011-07-01,103.6,109.8,6.636,96.528,123.072
112,Professional occupations in business,2011-08-01,116.5,109.7,6.478,96.744,122.656
112,Professional occupations in business,2011-09-01,116.3,112.133,7.391,97.351,126.915
112,Professional occupations in business,2011-10-01,110.3,114.367,3.523,107.321,121.413
112,Professional occupations in business,2011-11-01,111.3,112.633,3.215,106.203,119.063
112,Professional occupations in business,2011-12-01,111.2,110.933,0.551,109.831,112.035
112,Professional occupations in business,2012-01-01,117.0,113.167,3.32,106.527,119.807
112,Professional occupations in business,2012-02-01,133.4,120.533,11.514,97.505,143.561
112,Professional occupations in business,2012-03-01,137.7,129.367,10.924,107.519,151.215
112,Professional occupations in business,2012-04-01,134.5,135.2,2.234,130.732,139.668
112,Professional occupations in business,2012-05-01,151.3,141.167,8.92,123.327,159.007
112,Professional occupations in business,2012-06-01,151.7,145.833,9.817,126.199,165.467
112,Professional occupations in business,2012-07-01,150.2,151.067,0.777,149.513,152.621
112,Professional occupations in business,2012-08-01,149.3,150.4,1.212,147.976,152.824
112,Professional occupations in business,2012-09-01,140.2,146.567,5.532,135.503,157.631
112,Professional occupations in business,2012-10-01,125.4,138.3,12.063,114.174,162.426
112,Professional occupations in business,2012-11-01,119.3,128.3,10.748,106.804,149.796
112,Professional occupations in business,2012-12-01,123.0,122.567,3.073,116.421,128.713
112,Professional occupations in business,2013-01-01,110.3,117.533,6.532,104.469,130.597
112,Professional occupations in business,2013-02-01,124.3,119.2,7.735,103.73,134.67
112,Professional occupations in business,2013-03-01,123.5,119.367,7.862,103.643,135.091
112,Professional occupations in business,2013-04-01,122.3,123.367,1.007,121.353,125.381
112,Professional occupations in business,2013-05-01,120.5,122.1,1.51,119.08,125.12
112,Professional occupations in business,2013-06-01,122.8,121.867,1.21,119.447,124.287
112,Professional occupations in business,2013-07-01,132.5,125.267,6.369,112.529,138.005
112,Professional occupations in business,2013-08-01,119.0,124.767,6.962,110.843,138.691
