LinkID,ProgramID,Program,Broad Occupation Category Code,Broad Occupation Category,Major Group Code,Major Group,Sub-Major Group Code,Sub-Major Group,Minor Group Code,Minor Group,Unit Group Code,Unit Group Occupation,Unit Group Description
100,9,Food Science & Nutrition,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,211,Professional occupations in physical and life sciences,2113,Life science professionals,21131,Food Scientists and Technologists,"Food scientists and technologists conduct research and studies on the chemical, physical, nutritional and biological characteristics of food. They develop new food products and processes, and oversee the production of food products."
101,9,Food Science & Nutrition,3,Health occupations,31,Professional occupations in health,311,Professional occupations in health,3112,Dietitians and nutritionists,31121,Dietitians and Nutritionists,"Dietitians and nutritionists plan, implement and oversee nutrition programs. They provide consulting services and advice on nutrition and food preparation to individuals, institutions and commercial enterprises."
102,10,Forestry,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,211,Professional occupations in physical and life sciences,2113,Life science professionals,21113,Foresters,"Foresters manage and develop forest lands and their resources for conservation, recreational, commercial and other purposes. They are employed by federal and provincial governments, consulting companies, forest industries and other establishments."
103,10,Forestry,2,Natural and applied sciences and related occupations,22,Technical occupations related to natural and applied sciences,221,Technical occupations in physical sciences,2211,Chemical and geological technologists and technicians,22113,Forestry Technologists and Technicians,"Forestry technologists and technicians provide technical support to forestry research, forest management and forest harvesting activities. They are employed by federal and provincial governments, consulting companies, forest industries and other establishments."
104,11,Other Health Professions,3,Health occupations,31,Professional occupations in health,313,Pharmacists and other health professionals,3131,Pharmacists,31301,Pharmacists,"Pharmacists dispense prescription medications to patients and offer expertise in the safe use of prescriptions. They also may conduct health and wellness screenings, provide immunizations, oversee the medications given to patients, and provide advice on healthy lifestyles."
105,11,Other Health Professions,3,Health occupations,32,Technical occupations in health,321,Medical technologists and technicians,3211,Medical laboratory technologists,32110,Medical Laboratory Technologists,"Medical laboratory technologists conduct medical laboratory tests, experiments and analyses to assist in the diagnosis, treatment and prevention of disease. They are employed in medical laboratories in hospitals, clinics, research facilities, and other healthcare facilities."
106,12,Humanities,5,Occupations in art culture recreation and sport,51,Professional occupations in art and culture,511,Librarians archivists conservators and curators,5111,Librarians and related information professionals,51111,Librarians,"Librarians select, develop, organize and maintain library collections and provide advisory services for users. They are employed in libraries or other establishments with library services throughout the public and private sectors."
107,12,Humanities,5,Occupations in art culture recreation and sport,51,Professional occupations in art and culture,512,Writing translating and related communications professionals,5121,Authors and writers,51211,Authors and Writers,"Authors and writers plan, research and write books, scripts, storyboards, plays, essays, speeches, manuals, specifications and other non-journalistic articles for publication or presentation. They are employed by advertising agencies, governments, large corporations, private consulting firms, publishing firms, multimedia/new-media companies or they may be self-employed."
108,13,Journalism,5,Occupations in art culture recreation and sport,51,Professional occupations in art and culture,512,Writing translating and related communications professionals,5123,Journalists,51113,Journalists,"Journalists research, investigate, interpret and communicate news and public affairs through newspapers, television, radio and other media. They are employed by radio and television networks and stations, newspapers and magazines."
109,13,Journalism,5,Occupations in art culture recreation and sport,52,Technical occupations in art culture recreation and sport,521,Technical occupations in motion pictures broadcasting and the performing arts,5211,Technical and coordinating occupations in motion pictures broadcasting and the performing arts,52113,Audio and Video Recording Technicians,"Audio and video recording technicians operate and maintain equipment used to record, edit and reproduce sound and images for radio and television programs, motion pictures, music recordings, live performances and video productions."
110,14,Kinesiology / Recreation / Physical Education,3,Health occupations,31,Professional occupations in health,312,Therapy and assessment professionals,3142,Physiotherapists,31202,Physiotherapists,"Physiotherapists assess patients and plan and carry out individually designed treatment programs to maintain, improve or restore physical functioning, alleviate pain and prevent physical dysfunction in patients."
111,14,Kinesiology / Recreation / Physical Education,5,Occupations in art culture recreation and sport,54,Support occupations in art culture recreation and sport,541,Support occupations in art culture recreation and sport,5411,Support occupations in art culture recreation and sport,54100,Program Leaders and Instructors in Recreation Sport and Fitness,"Program leaders and instructors in recreation, sport and fitness lead and instruct individuals and groups in recreational, sports, fitness and related activities. They are employed by municipal recreation departments, community centres, health and fitness clubs, camps, and other recreational facilities."
112,15,Law,4,Occupations in social science education government service and religion,41,Professional occupations in law and social community and government services,411,Judges lawyers Quebec notaries and related occupations,4112,Lawyers and Quebec notaries,41101,Lawyers and Quebec Notaries,"Lawyers and Quebec notaries advise clients on legal matters, represent clients before tribunals and judicial bodies and act for clients in various legal transactions. Quebec notaries advise clients in non-contentious legal matters and draft legal documents."
113,15,Law,4,Occupations in social science education government service and religion,42,Paraprofessional occupations in legal social services education and religion,422,Paraprofessional occupations in legal and public protection services,4221,Paralegal and related occupations,42201,Paralegal and Related Occupations,"Paralegal and related occupations assist lawyers and Quebec notaries in providing legal services to clients. They are employed in law firms, record search companies, insurance companies, real estate companies, municipal, provincial and federal courts and government departments and agencies."
114,16,Mathematics,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2121,Biologists and related scientists,21210,Mathematicians Statisticians and Actuaries,"Mathematicians and statisticians research mathematical or statistical theories, and develop and apply mathematical or statistical techniques for solving problems in such fields as science, engineering, business and social science. Actuaries apply mathematics, statistics, probability and risk theory to assess potential financial impacts of future events."
115,16,Mathematics,2,Natural and applied sciences and related occupations,21,Professional occupations in natural and applied science,212,Professional occupations in applied sciences (except engineering),2161,Mathematicians statisticians and actuaries,21611,Data Scientists,"Data scientists use advanced analytics technologies, including machine learning and predictive modeling, to support the identification of trends and patterns in complex data sets. They clean, analyze and interpret large amounts of data to identify ways to help a business improve processes and gain a competitive advantage."
